userId,campaignId,group,semanticScore,locationScore,categoryScore,urgencyScore,popularityScore,recencyScore,monetary,goods,volunteer,label
U0001,C0067,15,0.1242,0.0552,0,0.4035,0.1466,0.7085,0,0,1,1
U0001,C0027,15,0.4958,0.2368,0,0.1749,0.1883,0.7626,0,1,0,5
U0001,C0119,15,0.4515,0.7467,0,0.2205,0.3384,0.1854,1,0,0,5
U0001,C0021,15,0.8848,0.3072,1,0.3635,0.5089,0.667,0,0,1,5
U0001,C0042,15,0.7662,0.1153,0,0.0906,0.4937,0.614,1,0,0,5
U0001,C0090,15,0.3089,0.5181,0,0.3228,0.0591,0.149,1,0,0,5
U0001,C0005,15,0.3647,0.0684,0,0.3696,0.2129,0.8414,0,0,1,5
U0001,C0066,15,0.7129,0.4478,0,0.5309,0.1527,0.7597,0,0,1,5
U0001,C0147,15,0.7899,0.1164,1,0.4412,0.0156,0.7024,0,0,1,2
U0001,C0043,15,0.2789,0.2399,0,0.4568,0.0377,0.3736,0,1,0,2
U0001,C0145,15,0.3115,0.1568,0,0.2817,0.2066,0.4919,0,0,1,2
U0001,C0105,15,0.2032,0.1445,1,0.3057,0.588,0.1225,0,1,0,2
U0001,C0100,15,0.2453,0.05,1,0.3463,0.18,0.6218,0,1,0,2
U0001,C0098,15,0.8802,0.1004,0,0.6351,0.0448,0.2837,0,1,0,2
U0001,C0080,15,0.3363,0.2457,0,0.4314,0.1509,0.5151,0,0,1,2
U0002,C0130,18,0.1905,0.9489,1,0.1453,0.2084,0.9786,0,0,1,2
U0002,C0142,18,0.3335,0.1212,0,0.3655,0.3272,0.7983,1,0,0,5
U0002,C0009,18,0.6145,0.4645,0,0.5793,0.095,0.5154,0,0,1,5
U0002,C0075,18,0.3078,0.0609,0,0.1449,0.173,0.6698,0,0,1,5
U0002,C0109,18,0.6608,0.2448,0,0.362,0.3634,0.7171,0,0,1,5
U0002,C0135,18,0.271,0.4171,1,0.4356,0.3704,0.2127,0,1,0,5
U0002,C0028,18,0.771,0.4216,0,0.3255,0.3258,0.4928,0,0,1,5
U0002,C0068,18,0.6445,0.6413,0,0.046,0.0367,0.2246,1,0,0,5
U0002,C0067,18,0.1667,0.4802,0,0.4035,0.1466,0.7085,0,0,1,2
U0002,C0003,18,0.1069,0.05,0,0.1995,0.3083,0.3506,1,0,0,1
U0002,C0029,18,0.8211,0.2068,0,0.2135,0.1634,0.7001,0,1,0,2
U0002,C0010,18,0.8932,0.2297,0,0.4611,0.2742,0.985,1,0,0,2
U0002,C0144,18,0.368,0.764,0,0.3825,0.0875,0.4128,0,0,1,1
U0002,C0039,18,0.8162,0.4269,0,0.4162,0.5551,0.7068,0,1,0,1
U0002,C0150,18,0.305,0.3071,0,0.5086,0.0134,0.5967,0,1,0,1
U0002,C0077,18,0.4113,0.05,0,0.3769,0.0663,0.4988,0,1,0,1
U0002,C0041,18,0.507,0.5599,0,0.5116,0.567,0.5192,0,0,1,1
U0002,C0134,18,0.347,0.1573,0,0.2475,0.1161,0.8961,0,1,0,2
U0003,C0118,20,0.0724,0.5698,0,0.1071,0.322,0.7665,1,0,0,2
U0003,C0045,20,0.8929,0.5375,0,0.1719,0.2712,0.965,1,0,0,5
U0003,C0125,20,0.5081,0.2557,0,0.0932,0.1975,0.6547,0,1,0,5
U0003,C0005,20,0.98,0.0862,0,0.3696,0.2129,0.8414,0,0,1,5
U0003,C0062,20,0.8051,0.1861,0,0.2459,0.3905,0.4621,1,0,0,5
U0003,C0098,20,0.7439,0.2739,0,0.6351,0.0448,0.2837,0,1,0,5
U0003,C0009,20,0.9054,0.068,0,0.5793,0.095,0.5154,0,0,1,2
U0003,C0061,20,0.4319,0.2494,1,0.2856,0.3106,0.4733,0,1,0,5
U0003,C0148,20,0.2557,0.9592,0,0.1613,0.3539,0.9027,0,1,0,2
U0003,C0053,20,0.3059,0.1003,0,0.1426,0.0445,0.1154,0,0,1,5
U0003,C0007,20,0.0692,0.2571,0,0.2653,0.2633,0.7991,0,0,1,2
U0003,C0082,20,0.6069,0.2121,0,0.3825,0.2499,0.5536,0,1,0,1
U0003,C0122,20,0.7626,0.3603,1,0.0737,0.1789,0.1599,0,1,0,1
U0003,C0011,20,0.0991,0.0673,0,0.1781,0.0681,0.808,0,1,0,2
U0003,C0001,20,0.7314,0.2506,0,0.3659,0.2368,0.8433,0,0,1,1
U0003,C0134,20,0.4234,0.7736,1,0.2475,0.1161,0.8961,0,1,0,1
U0003,C0079,20,0.4517,0.3407,0,0.3678,0.218,0.8749,0,1,0,1
U0003,C0131,20,0.6311,0.2123,0,0.5277,0.3804,0.7151,0,1,0,2
U0003,C0063,20,0.7156,0.2907,0,0.3814,0.1207,0.4515,0,1,0,2
U0003,C0008,20,0.5432,0.2677,0,0.0494,0.0915,0.8395,0,1,0,1
U0004,C0117,18,0.632,0.9563,0,0.0224,0.0825,0.1707,1,0,0,2
U0004,C0046,18,0.0798,0.2543,1,0.2768,0.1672,0.9025,0,0,1,5
U0004,C0091,18,0.0969,0.2804,0,0.4545,0.5855,0.6798,0,0,1,5
U0004,C0076,18,0.8614,0.3927,0,0.3624,0.3919,0.5224,0,1,0,5
U0004,C0116,18,0.4528,0.05,0,0.3269,0.2855,0.6783,0,1,0,5
U0004,C0099,18,0.4201,0.3248,0,0.4917,0.4187,0.1381,0,1,0,5
U0004,C0073,18,0.2485,0.3092,0,0.5746,0.2968,0.4343,1,0,0,5
U0004,C0017,18,0.5688,0.2913,0,0.3559,0.4084,0.3376,0,0,1,2
U0004,C0147,18,0.3264,0.4318,0,0.4412,0.0156,0.7024,0,0,1,5
U0004,C0109,18,0.7649,0.7079,0,0.362,0.3634,0.7171,0,0,1,2
U0004,C0136,18,0.2321,0.6712,0,0.7682,0.1707,0.2805,1,0,0,1
U0004,C0021,18,0.5339,0.06,0,0.3635,0.5089,0.667,0,0,1,1
U0004,C0065,18,0.0787,0.1775,1,0.1786,0.2128,0.6745,0,1,0,1
U0004,C0007,18,0.2418,0.1094,0,0.2653,0.2633,0.7991,0,0,1,2
U0004,C0063,18,0.6321,0.3404,0,0.3814,0.1207,0.4515,0,1,0,1
U0004,C0082,18,0.5491,0.448,0,0.3825,0.2499,0.5536,0,1,0,1
U0004,C0090,18,0.9132,0.8076,0,0.3228,0.0591,0.149,1,0,0,1
U0004,C0112,18,0.8242,0.2673,0,0.6128,0.227,0.9582,0,1,0,1
U0005,C0111,18,0.8001,0.7293,1,0.2173,0.1798,0.6751,0,1,0,2
U0005,C0055,18,0.9047,0.2756,0,0.6798,0.4857,0.7355,1,0,0,5
U0005,C0011,18,0.3412,0.2105,0,0.1781,0.0681,0.808,0,1,0,5
U0005,C0084,18,0.1511,0.2966,0,0.144,0.2945,0.8495,0,1,0,5
U0005,C0120,18,0.8151,0.7852,0,0.7087,0.1727,0.6347,1,0,0,5
U0005,C0116,18,0.785,0.5127,0,0.3269,0.2855,0.6783,0,1,0,5
U0005,C0110,18,0.6355,0.3243,0,0.2999,0.3518,0.9192,0,0,1,5
U0005,C0134,18,0.6665,0.2217,0,0.2475,0.1161,0.8961,0,1,0,5
U0005,C0012,18,0.8608,0.1309,0,0.2139,0.412,0.7963,1,0,0,2
U0005,C0125,18,0.1101,0.0924,0,0.0932,0.1975,0.6547,0,1,0,2
U0005,C0026,18,0.7861,0.0996,0,0.329,0.3563,0.5628,0,0,1,1
U0005,C0119,18,0.5187,0.5116,0,0.2205,0.3384,0.1854,1,0,0,1
U0005,C0122,18,0.1901,0.8972,0,0.0737,0.1789,0.1599,0,1,0,1
U0005,C0092,18,0.2695,0.1066,0,0.2617,0.3656,0.9768,0,0,1,1
U0005,C0074,18,0.4141,0.3206,0,0.1902,0.3126,0.6567,1,0,0,1
U0005,C0052,18,0.6985,0.4927,0,0.2264,0.1546,0.1142,0,1,0,1
U0005,C0118,18,0.4853,0.0869,0,0.1071,0.322,0.7665,1,0,0,1
U0005,C0093,18,0.8139,0.3198,0,0.1232,0.4355,0.1628,1,0,0,2
U0006,C0022,21,0.4838,0.4633,0,0.3178,0.2738,0.8723,0,0,1,2
U0006,C0093,21,0.8213,0.0759,0,0.1232,0.4355,0.1628,1,0,0,2
U0006,C0147,21,0.3155,0.3136,0,0.4412,0.0156,0.7024,0,0,1,5
U0006,C0060,21,0.6247,0.1398,0,0.2468,0.252,0.9446,1,0,0,5
U0006,C0077,21,0.8028,0.1304,1,0.3769,0.0663,0.4988,0,1,0,5
U0006,C0133,21,0.2196,0.3755,0,0.2197,0.4224,0.8201,1,0,0,5
U0006,C0083,21,0.422,0.4883,0,0.2692,0.0207,0.9543,0,0,1,5
U0006,C0150,21,0.1113,0.1561,0,0.5086,0.0134,0.5967,0,1,0,2
U0006,C0005,21,0.9765,0.671,0,0.3696,0.2129,0.8414,0,0,1,5
U0006,C0068,21,0.5472,0.8775,0,0.046,0.0367,0.2246,1,0,0,2
U0006,C0128,21,0.8386,0.1969,0,0.3936,0.1843,0.6371,0,1,0,5
U0006,C0059,21,0.3964,0.338,0,0.0711,0.1059,0.1048,1,0,0,2
U0006,C0039,21,0.7256,0.1185,1,0.4162,0.5551,0.7068,0,1,0,1
U0006,C0113,21,0.3358,0.4613,0,0.4553,0.1208,0.8935,1,0,0,1
U0006,C0031,21,0.1523,0.7808,0,0.3153,0.4029,0.7732,0,0,1,1
